City,Total,Mining and extraction of stones and earth ,Manufacturing,Power Supply,Water Supply,Construction Industry,"Trade, maintance and repair motor vehicle",Traffic and warehousing,Hospitality,Information and communication,Provision of Finace and insurance service,Real estate and housing,"Freelance, science technology services",Other Economic services,Education and Teaching,Helth and social care,"Art, Entertainment and Recreation",Provision and other services,Year
"Kusel, Landkreis",2428.0,4.0,216.0,24.0,16.0,295.0,548.0,84.0,258.0,36.0,53.0,150.0,208.0,84.0,90.0,176.0,43.0,143.0,2010
"Südliche Weinstraße, Landkreis",5289.0,2.0,462.0,66.0,25.0,579.0,1078.0,104.0,623.0,150.0,137.0,471.0,541.0,227.0,157.0,274.0,128.0,265.0,2010
Rhein-Pfalz-Kreis,5959.0,3.0,461.0,43.0,29.0,689.0,1278.0,293.0,420.0,196.0,121.0,469.0,684.0,330.0,151.0,313.0,131.0,348.0,2010
"Mainz-Bingen, Landkreis",9461.0,6.0,621.0,57.0,30.0,990.0,1693.0,283.0,755.0,473.0,202.0,826.0,1389.0,522.0,298.0,494.0,256.0,566.0,2010
"Südwestpfalz, Landkreis",3936.0,1.0,433.0,23.0,14.0,562.0,913.0,114.0,425.0,101.0,71.0,268.0,298.0,154.0,116.0,192.0,61.0,190.0,2010
"Koblenz, kreisfreie Stadt",6063.0,1.0,282.0,19.0,16.0,405.0,1218.0,259.0,484.0,261.0,172.0,581.0,845.0,327.0,171.0,494.0,146.0,382.0,2011
"Ahrweiler, Landkreis",6676.0,7.0,537.0,44.0,29.0,797.0,1295.0,206.0,674.0,193.0,132.0,612.0,695.0,375.0,162.0,362.0,169.0,387.0,2011
"Altenkirchen (Westerwald), Landkreis",5840.0,1.0,636.0,49.0,34.0,680.0,1254.0,172.0,364.0,133.0,115.0,576.0,584.0,292.0,153.0,319.0,114.0,364.0,2011
"Bad Kreuznach, Landkreis",7214.0,10.0,573.0,80.0,34.0,702.0,1522.0,235.0,592.0,228.0,167.0,564.0,816.0,379.0,219.0,469.0,170.0,454.0,2011
"Birkenfeld, Landkreis",3984.0,2.0,638.0,28.0,26.0,396.0,927.0,98.0,311.0,81.0,119.0,272.0,290.0,147.0,85.0,256.0,84.0,224.0,2011
"Cochem-Zell, Landkreis",3158.0,1.0,252.0,52.0,7.0,359.0,633.0,103.0,602.0,61.0,55.0,258.0,197.0,96.0,74.0,185.0,43.0,180.0,2011
"Mayen-Koblenz, Landkreis",9658.0,27.0,895.0,102.0,32.0,1090.0,2196.0,381.0,745.0,260.0,240.0,814.0,1000.0,423.0,240.0,526.0,193.0,494.0,2011
"Neuwied, Landkreis",9020.0,7.0,849.0,40.0,29.0,1160.0,1908.0,268.0,595.0,311.0,188.0,810.0,1045.0,445.0,205.0,478.0,195.0,487.0,2011
Rhein-Hunsrück-Kreis,5025.0,3.0,421.0,84.0,21.0,638.0,1030.0,188.0,444.0,130.0,115.0,465.0,515.0,250.0,124.0,249.0,99.0,249.0,2011
Rhein-Lahn-Kreis,5508.0,4.0,483.0,65.0,23.0,578.0,1085.0,171.0,532.0,159.0,116.0,419.0,614.0,306.0,172.0,331.0,112.0,338.0,2011
Westerwaldkreis,10162.0,34.0,1127.0,105.0,38.0,1212.0,2118.0,326.0,616.0,274.0,193.0,1025.0,1135.0,508.0,298.0,493.0,165.0,495.0,2011
"Trier, kreisfreie Stadt",5361.0,0.0,299.0,31.0,22.0,310.0,1290.0,145.0,477.0,155.0,126.0,536.0,717.0,218.0,140.0,432.0,120.0,343.0,2011
"Bernkastel-Wittlich, Landkreis",5389.0,8.0,542.0,82.0,20.0,567.0,1149.0,157.0,748.0,79.0,122.0,457.0,432.0,209.0,108.0,324.0,98.0,287.0,2011
Eifelkreis Bitburg-Prüm,4428.0,9.0,421.0,250.0,21.0,472.0,904.0,142.0,473.0,71.0,118.0,417.0,325.0,136.0,110.0,215.0,100.0,244.0,2011
"Vulkaneifel, Landkreis",2993.0,13.0,277.0,57.0,14.0,330.0,627.0,107.0,310.0,64.0,55.0,284.0,278.0,113.0,82.0,161.0,64.0,157.0,2011
"Trier-Saarburg, Landkreis",5297.0,10.0,470.0,64.0,27.0,680.0,1050.0,169.0,555.0,94.0,136.0,506.0,477.0,205.0,139.0,312.0,105.0,298.0,2011
"Frankenthal (Pfalz), kreisfreie Stadt",2023.0,2.0,135.0,15.0,5.0,192.0,429.0,91.0,168.0,61.0,37.0,181.0,230.0,111.0,49.0,148.0,49.0,120.0,2011
"Kaiserslautern, kreisfreie Stadt",4871.0,2.0,267.0,23.0,7.0,306.0,1052.0,174.0,429.0,170.0,113.0,436.0,744.0,212.0,138.0,377.0,124.0,297.0,2011
"Landau in der Pfalz, kreisfreie Stadt",2556.0,1.0,159.0,15.0,15.0,180.0,576.0,40.0,165.0,82.0,52.0,297.0,375.0,121.0,75.0,196.0,63.0,144.0,2011
"Ludwigshafen am Rhein, kreisfreie Stadt",6014.0,3.0,306.0,23.0,15.0,683.0,1171.0,320.0,543.0,186.0,105.0,467.0,675.0,380.0,172.0,457.0,140.0,368.0,2011
"Mainz, kreisfreie Stadt",10622.0,4.0,455.0,45.0,20.0,604.0,1721.0,362.0,735.0,663.0,230.0,1197.0,1801.0,621.0,249.0,767.0,427.0,721.0,2011
"Neustadt an der Weinstraße, kreisfreie Stadt",3015.0,0.0,177.0,21.0,7.0,242.0,603.0,72.0,249.0,106.0,74.0,318.0,458.0,122.0,67.0,221.0,83.0,195.0,2011
"Pirmasens, kreisfreie Stadt",2232.0,0.0,199.0,10.0,10.0,168.0,620.0,57.0,168.0,63.0,55.0,175.0,233.0,82.0,42.0,163.0,46.0,141.0,2011
"Speyer, kreisfreie Stadt",2829.0,4.0,186.0,13.0,14.0,208.0,587.0,86.0,242.0,89.0,75.0,293.0,376.0,131.0,81.0,198.0,87.0,159.0,2011
"Worms, kreisfreie Stadt",3808.0,3.0,256.0,27.0,12.0,371.0,813.0,150.0,294.0,126.0,80.0,340.0,466.0,203.0,82.0,249.0,108.0,228.0,2011
"Zweibrücken, kreisfreie Stadt",1593.0,1.0,122.0,16.0,12.0,125.0,395.0,46.0,150.0,50.0,36.0,107.0,164.0,64.0,45.0,127.0,40.0,93.0,2011
"Alzey-Worms, Landkreis",5541.0,3.0,421.0,162.0,29.0,645.0,1162.0,179.0,392.0,201.0,120.0,420.0,644.0,360.0,159.0,258.0,110.0,276.0,2011
