City,Total_Death,Under 1 Year,1 to under 15 years,15 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years,40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 year and Above ,Year
"Saarlouis, Landkreis",2507.0,12.0,2.0,5.0,2.0,4.0,6.0,19.0,37.0,76.0,100.0,140.0,139.0,275.0,379.0,455.0,856.0,2013
Saarpfalz-Kreis,1915.0,5.0,1.0,2.0,2.0,6.0,10.0,9.0,15.0,52.0,75.0,98.0,108.0,193.0,283.0,341.0,715.0,2013
"St. Wendel, Landkreis",1109.0,0.0,2.0,7.0,0.0,1.0,4.0,6.0,18.0,23.0,50.0,60.0,49.0,106.0,172.0,205.0,406.0,2013
Berlin,32792.0,124.0,47.0,84.0,107.0,137.0,185.0,297.0,686.0,1053.0,1346.0,2003.0,2474.0,4439.0,4942.0,4792.0,10076.0,2013
Berlin-Mitte,2589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Friedrichshain-Kreuzberg,1679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Pankow,3052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Charlottenburg-Wilmersdorf,3287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Spandau,2641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Steglitz-Zehlendorf,3287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Tempelhof-Schöneberg,3161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Neukölln,2803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Treptow-Köpenick,2695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Marzahn-Hellersdorf,2179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Lichtenberg,2507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Berlin-Reinickendorf,2912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
"Brandenburg an der Havel, kreisfreie Stadt",904.0,5.0,2.0,1.0,1.0,6.0,2.0,6.0,22.0,29.0,37.0,57.0,51.0,110.0,147.0,150.0,278.0,2013
"Cottbus, kreisfreie Stadt",1209.0,2.0,1.0,0.0,3.0,11.0,7.0,13.0,16.0,50.0,53.0,55.0,73.0,150.0,197.0,213.0,365.0,2013
"Frankfurt (Oder), kreisfreie Stadt",761.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,15.0,27.0,33.0,60.0,52.0,78.0,130.0,122.0,230.0,2013
"Potsdam, kreisfreie Stadt",1475.0,4.0,0.0,7.0,5.0,7.0,5.0,11.0,26.0,51.0,55.0,91.0,82.0,164.0,229.0,273.0,465.0,2013
"Barnim, Landkreis",1991.0,2.0,3.0,5.0,4.0,6.0,5.0,12.0,44.0,73.0,93.0,130.0,125.0,256.0,306.0,337.0,590.0,2013
"Dahme-Spreewald, Landkreis",1845.0,5.0,3.0,6.0,4.0,5.0,6.0,12.0,31.0,59.0,72.0,85.0,98.0,207.0,292.0,370.0,590.0,2013
"Elbe-Elster, Landkreis",1554.0,3.0,1.0,3.0,6.0,2.0,6.0,10.0,18.0,31.0,68.0,102.0,77.0,190.0,231.0,291.0,515.0,2013
"Havelland, Landkreis",1773.0,2.0,4.0,4.0,7.0,3.0,8.0,16.0,40.0,82.0,95.0,92.0,113.0,223.0,290.0,303.0,491.0,2013
"Märkisch-Oderland, Landkreis",2155.0,4.0,2.0,6.0,1.0,7.0,8.0,19.0,47.0,76.0,110.0,131.0,113.0,259.0,357.0,411.0,604.0,2013
"Oberhavel, Landkreis",2311.0,3.0,3.0,4.0,6.0,7.0,8.0,20.0,50.0,72.0,126.0,140.0,145.0,266.0,392.0,414.0,655.0,2013
"Oberspreewald-Lausitz, Landkreis",1730.0,1.0,3.0,1.0,8.0,10.0,5.0,24.0,35.0,50.0,68.0,93.0,101.0,220.0,276.0,300.0,535.0,2013
"Oder-Spree, Landkreis",2241.0,3.0,2.0,7.0,2.0,6.0,5.0,17.0,39.0,63.0,101.0,137.0,124.0,275.0,376.0,405.0,679.0,2013
"Ostprignitz-Ruppin, Landkreis",1310.0,2.0,1.0,2.0,5.0,4.0,2.0,11.0,25.0,44.0,61.0,74.0,69.0,167.0,208.0,232.0,403.0,2013
"Potsdam-Mittelmark, Landkreis",2102.0,3.0,2.0,5.0,2.0,8.0,1.0,7.0,49.0,53.0,88.0,119.0,119.0,245.0,321.0,364.0,716.0,2013
"Prignitz, Landkreis",1164.0,1.0,1.0,2.0,4.0,7.0,3.0,10.0,23.0,41.0,45.0,65.0,56.0,139.0,200.0,214.0,353.0,2013
"Spree-Neiße, Landkreis",1643.0,5.0,2.0,3.0,1.0,1.0,8.0,7.0,38.0,64.0,78.0,103.0,99.0,185.0,261.0,303.0,485.0,2013
"Teltow-Fläming, Landkreis",1867.0,3.0,2.0,6.0,4.0,4.0,7.0,11.0,35.0,64.0,95.0,100.0,80.0,234.0,324.0,299.0,599.0,2013
"Uckermark, Landkreis",1643.0,2.0,1.0,1.0,3.0,9.0,8.0,21.0,34.0,64.0,86.0,94.0,86.0,217.0,266.0,299.0,452.0,2013
"Rostock, Hanse- und Universitätsstadt, kreisfreie Stadt",2245.0,5.0,4.0,3.0,9.0,9.0,9.0,19.0,48.0,97.0,87.0,123.0,132.0,304.0,377.0,402.0,617.0,2013
"Schwerin, Landeshauptstadt, kreisfreie Stadt",1166.0,7.0,1.0,4.0,7.0,2.0,7.0,12.0,27.0,40.0,52.0,58.0,72.0,142.0,161.0,198.0,376.0,2013
"Mecklenburgische Seenplatte, Landkreis",3349.0,3.0,2.0,9.0,4.0,12.0,13.0,25.0,76.0,125.0,179.0,233.0,167.0,404.0,526.0,640.0,931.0,2013
Landkreis Rostock,2414.0,3.0,3.0,7.0,3.0,6.0,7.0,16.0,41.0,100.0,125.0,149.0,140.0,263.0,391.0,442.0,718.0,2013
"Vorpommern-Rügen, Landkreis",2949.0,4.0,1.0,6.0,6.0,6.0,8.0,21.0,49.0,107.0,147.0,168.0,144.0,375.0,551.0,536.0,820.0,2013
Landkreis Nordwestmecklenburg,1853.0,5.0,1.0,9.0,9.0,7.0,5.0,15.0,36.0,81.0,94.0,104.0,94.0,245.0,310.0,326.0,512.0,2013
"Vorpommern-Greifswald, Landkreis",3227.0,3.0,4.0,6.0,3.0,10.0,15.0,27.0,68.0,118.0,175.0,194.0,180.0,382.0,545.0,610.0,887.0,2013
Landkreis Ludwigslust-Parchim,2627.0,7.0,2.0,9.0,6.0,12.0,12.0,29.0,47.0,96.0,146.0,151.0,123.0,280.0,442.0,442.0,823.0,2013
"Chemnitz, Stadt",3364.0,7.0,4.0,8.0,5.0,8.0,15.0,30.0,35.0,86.0,111.0,186.0,212.0,357.0,466.0,594.0,1240.0,2013
Erzgebirgskreis,5162.0,8.0,2.0,14.0,8.0,12.0,22.0,33.0,71.0,119.0,170.0,321.0,307.0,512.0,699.0,979.0,1885.0,2013
"Mittelsachsen, Landkreis",4385.0,9.0,3.0,7.0,8.0,8.0,14.0,18.0,64.0,105.0,151.0,217.0,217.0,443.0,663.0,834.0,1624.0,2013
Vogtlandkreis,3504.0,4.0,3.0,10.0,7.0,6.0,12.0,24.0,46.0,105.0,134.0,185.0,189.0,374.0,516.0,603.0,1286.0,2013
"Zwickau, Landkreis",5028.0,6.0,4.0,8.0,8.0,11.0,20.0,36.0,74.0,125.0,168.0,249.0,287.0,469.0,724.0,928.0,1911.0,2013
"Dresden, Stadt",5273.0,12.0,6.0,16.0,17.0,23.0,25.0,47.0,79.0,127.0,185.0,249.0,296.0,548.0,731.0,882.0,2030.0,2013
"Bautzen, Landkreis",4083.0,9.0,3.0,10.0,12.0,10.0,14.0,30.0,68.0,126.0,168.0,215.0,198.0,387.0,605.0,824.0,1404.0,2013
"Görlitz, Landkreis",3915.0,5.0,4.0,4.0,1.0,8.0,17.0,23.0,71.0,115.0,162.0,206.0,220.0,426.0,585.0,692.0,1376.0,2013
"Meißen, Landkreis",3152.0,2.0,2.0,7.0,4.0,10.0,8.0,20.0,42.0,67.0,122.0,162.0,139.0,340.0,484.0,555.0,1188.0,2013
"Sächsische Schweiz-Osterzgebirge, Landkreis",3129.0,7.0,2.0,5.0,7.0,5.0,11.0,23.0,41.0,66.0,105.0,135.0,164.0,333.0,440.0,576.0,1209.0,2013
"Leipzig, Stadt",5933.0,10.0,8.0,16.0,23.0,31.0,32.0,47.0,97.0,155.0,198.0,342.0,344.0,650.0,874.0,1021.0,2085.0,2013
"Leipzig, Landkreis",3359.0,6.0,2.0,6.0,7.0,6.0,5.0,28.0,45.0,87.0,127.0,165.0,193.0,370.0,512.0,590.0,1210.0,2013
"Nordsachsen, Landkreis",2649.0,5.0,3.0,4.0,3.0,6.0,9.0,15.0,45.0,92.0,108.0,125.0,141.0,303.0,420.0,494.0,876.0,2013
"Dessau-Roßlau, kreisfreie Stadt",1248.0,0.0,0.0,2.0,1.0,5.0,1.0,9.0,15.0,31.0,45.0,56.0,87.0,139.0,184.0,232.0,441.0,2013
"Halle (Saale), kreisfreie Stadt",3034.0,4.0,2.0,3.0,6.0,11.0,8.0,23.0,48.0,71.0,111.0,197.0,209.0,360.0,462.0,499.0,1020.0,2013
"Magdeburg, Landeshauptstadt, kreisfreie Stadt",2820.0,9.0,3.0,9.0,6.0,11.0,11.0,27.0,50.0,92.0,130.0,162.0,169.0,344.0,450.0,460.0,887.0,2013
Altmarkkreis Salzwedel,1129.0,2.0,1.0,4.0,3.0,9.0,5.0,13.0,21.0,43.0,45.0,50.0,59.0,123.0,175.0,200.0,376.0,2013
"Anhalt-Bitterfeld, Landkreis",2497.0,1.0,1.0,5.0,4.0,10.0,10.0,17.0,48.0,66.0,90.0,156.0,151.0,324.0,383.0,474.0,757.0,2013
"Börde, Landkreis",2132.0,3.0,3.0,6.0,2.0,5.0,3.0,22.0,43.0,72.0,111.0,125.0,122.0,250.0,316.0,403.0,646.0,2013
Burgenlandkreis,2741.0,7.0,1.0,8.0,5.0,12.0,8.0,14.0,35.0,70.0,107.0,132.0,154.0,305.0,414.0,540.0,929.0,2013
"Harz, Landkreis",3330.0,2.0,2.0,8.0,5.0,7.0,12.0,27.0,50.0,97.0,141.0,168.0,187.0,408.0,535.0,620.0,1061.0,2013
"Jerichower Land, Landkreis",1318.0,4.0,1.0,2.0,2.0,2.0,3.0,13.0,24.0,39.0,81.0,64.0,69.0,156.0,199.0,244.0,415.0,2013
"Mansfeld-Südharz, Landkreis",2119.0,3.0,1.0,0.0,4.0,5.0,5.0,15.0,41.0,69.0,94.0,148.0,106.0,227.0,354.0,374.0,673.0,2013
Saalekreis,2376.0,5.0,0.0,4.0,6.0,6.0,9.0,15.0,47.0,76.0,123.0,146.0,154.0,305.0,367.0,418.0,695.0,2013
Salzlandkreis,3205.0,3.0,0.0,6.0,9.0,8.0,9.0,20.0,55.0,109.0,139.0,216.0,192.0,372.0,504.0,534.0,1029.0,2013
"Stendal, Landkreis",1578.0,1.0,0.0,3.0,3.0,9.0,4.0,13.0,25.0,56.0,79.0,94.0,91.0,224.0,275.0,256.0,445.0,2013
"Wittenberg, Landkreis",1858.0,5.0,2.0,3.0,3.0,4.0,9.0,21.0,34.0,63.0,75.0,112.0,91.0,227.0,320.0,320.0,569.0,2013
"Erfurt, kreisfreie Stadt",2200.0,4.0,1.0,2.0,7.0,10.0,7.0,15.0,36.0,80.0,87.0,117.0,137.0,262.0,332.0,410.0,693.0,2013
"Gera, kreisfreie Stadt",1349.0,2.0,1.0,3.0,2.0,6.0,2.0,11.0,18.0,35.0,70.0,64.0,72.0,160.0,163.0,260.0,480.0,2013
"Jena, kreisfreie Stadt",977.0,3.0,0.0,2.0,2.0,6.0,3.0,4.0,19.0,26.0,34.0,43.0,83.0,111.0,153.0,151.0,337.0,2013
"Suhl, kreisfreie Stadt",464.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,6.0,14.0,21.0,33.0,24.0,59.0,59.0,82.0,156.0,2013
"Weimar, kreisfreie Stadt",709.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,12.0,23.0,24.0,31.0,34.0,67.0,89.0,140.0,274.0,2013
"Eisenach, kreisfreie Stadt",607.0,0.0,1.0,2.0,2.0,3.0,2.0,4.0,9.0,15.0,29.0,36.0,30.0,76.0,103.0,109.0,186.0,2013
"Eichsfeld, Kreis",1076.0,3.0,1.0,6.0,2.0,4.0,2.0,8.0,19.0,32.0,45.0,60.0,59.0,133.0,169.0,191.0,342.0,2013
"Nordhausen, Kreis",1193.0,2.0,0.0,2.0,5.0,3.0,2.0,10.0,16.0,33.0,41.0,54.0,64.0,122.0,209.0,226.0,404.0,2013
Wartburgkreis,1601.0,1.0,0.0,3.0,3.0,4.0,4.0,8.0,24.0,42.0,57.0,79.0,84.0,192.0,264.0,319.0,517.0,2013
Unstrut-Hainich-Kreis,1412.0,3.0,0.0,7.0,3.0,4.0,3.0,4.0,23.0,43.0,49.0,66.0,65.0,183.0,256.0,252.0,451.0,2013
Kyffhäuserkreis,1186.0,1.0,2.0,3.0,3.0,3.0,8.0,5.0,16.0,31.0,41.0,47.0,77.0,149.0,198.0,239.0,363.0,2013
"Schmalkalden-Meiningen, Kreis",1700.0,2.0,5.0,6.0,4.0,3.0,6.0,9.0,22.0,53.0,66.0,81.0,95.0,199.0,307.0,302.0,540.0,2013
"Gotha, Kreis",1728.0,2.0,2.0,4.0,2.0,12.0,5.0,17.0,28.0,51.0,73.0,85.0,99.0,200.0,276.0,296.0,576.0,2013
"Sömmerda, Kreis",868.0,2.0,0.0,3.0,1.0,1.0,3.0,5.0,15.0,24.0,48.0,57.0,51.0,112.0,118.0,156.0,272.0,2013
"Hildburghausen, Kreis",815.0,1.0,0.0,0.0,2.0,2.0,2.0,5.0,10.0,25.0,30.0,41.0,31.0,111.0,120.0,155.0,280.0,2013
Ilm-Kreis,1396.0,5.0,0.0,3.0,1.0,2.0,6.0,6.0,18.0,37.0,47.0,62.0,80.0,160.0,243.0,223.0,503.0,2013
"Weimarer Land, Kreis",943.0,3.0,2.0,2.0,2.0,5.0,5.0,7.0,10.0,22.0,45.0,45.0,71.0,108.0,124.0,192.0,300.0,2013
"Sonneberg, Kreis",861.0,1.0,1.0,2.0,3.0,2.0,2.0,8.0,19.0,24.0,34.0,44.0,43.0,111.0,137.0,136.0,294.0,2013
"Saalfeld-Rudolstadt, Kreis",1602.0,1.0,0.0,5.0,2.0,3.0,4.0,11.0,22.0,44.0,63.0,71.0,88.0,196.0,222.0,321.0,549.0,2013
Saale-Holzland-Kreis,926.0,0.0,1.0,1.0,3.0,2.0,0.0,6.0,13.0,28.0,47.0,40.0,59.0,108.0,140.0,175.0,303.0,2013
Saale-Orla-Kreis,1146.0,0.0,4.0,0.0,2.0,1.0,4.0,15.0,19.0,35.0,40.0,53.0,61.0,109.0,192.0,213.0,398.0,2013
"Greiz, Kreis",1461.0,2.0,2.0,3.0,1.0,1.0,2.0,11.0,13.0,33.0,54.0,76.0,79.0,170.0,213.0,302.0,499.0,2013
"Altenburger Land, Kreis",1373.0,2.0,1.0,2.0,3.0,3.0,2.0,11.0,21.0,29.0,37.0,65.0,89.0,162.0,207.0,244.0,495.0,2013
"Flensburg, kreisfreie Stadt",1045.0,8.0,0.0,0.0,1.0,4.0,11.0,17.0,26.0,35.0,42.0,62.0,73.0,110.0,135.0,141.0,380.0,2014
"Kiel, Landeshauptstadt, kreisfreie Stadt",2437.0,6.0,3.0,8.0,7.0,11.0,11.0,21.0,55.0,75.0,94.0,158.0,168.0,268.0,323.0,340.0,889.0,2014
"Lübeck, Hansestadt, kreisfreie Stadt",2605.0,4.0,2.0,6.0,2.0,12.0,14.0,20.0,43.0,63.0,94.0,159.0,196.0,266.0,375.0,361.0,988.0,2014
"Neumünster, kreisfreie Stadt",974.0,1.0,1.0,7.0,1.0,5.0,9.0,9.0,20.0,37.0,44.0,53.0,62.0,106.0,130.0,145.0,344.0,2014
"Dithmarschen, Landkreis",1682.0,7.0,4.0,8.0,3.0,2.0,3.0,14.0,36.0,48.0,65.0,85.0,88.0,198.0,281.0,268.0,572.0,2014
"Herzogtum Lauenburg, Landkreis",2110.0,3.0,2.0,1.0,4.0,8.0,10.0,12.0,32.0,57.0,75.0,96.0,121.0,202.0,330.0,319.0,838.0,2014
"Nordfriesland, Landkreis",1871.0,6.0,2.0,9.0,4.0,6.0,4.0,11.0,27.0,43.0,61.0,102.0,118.0,204.0,295.0,305.0,674.0,2014
"Ostholstein, Landkreis",2479.0,6.0,1.0,6.0,2.0,6.0,6.0,17.0,27.0,53.0,86.0,133.0,166.0,322.0,375.0,381.0,892.0,2014
"Pinneberg, Landkreis",3131.0,8.0,3.0,7.0,5.0,8.0,11.0,30.0,39.0,86.0,98.0,143.0,198.0,372.0,533.0,474.0,1116.0,2014
"Plön, Landkreis",1390.0,0.0,0.0,4.0,2.0,4.0,1.0,5.0,21.0,34.0,43.0,72.0,88.0,135.0,223.0,225.0,533.0,2014
"Rendsburg-Eckernförde, Landkreis",2940.0,2.0,1.0,3.0,4.0,11.0,11.0,18.0,43.0,67.0,103.0,166.0,193.0,346.0,436.0,459.0,1077.0,2014
"Schleswig-Flensburg, Landkreis",2324.0,4.0,4.0,8.0,4.0,8.0,13.0,19.0,54.0,74.0,84.0,120.0,149.0,277.0,354.0,352.0,800.0,2014
"Segeberg, Landkreis",2714.0,11.0,2.0,2.0,4.0,7.0,10.0,15.0,59.0,76.0,112.0,141.0,176.0,331.0,452.0,420.0,896.0,2014
"Steinburg, Landkreis",1472.0,3.0,4.0,7.0,4.0,3.0,8.0,16.0,26.0,62.0,54.0,75.0,83.0,172.0,222.0,242.0,491.0,2014
"Stormarn, Landkreis",2502.0,2.0,9.0,4.0,6.0,2.0,6.0,15.0,25.0,67.0,67.0,108.0,149.0,259.0,446.0,387.0,950.0,2014
Hamburg,16780.0,63.0,17.0,49.0,40.0,42.0,86.0,144.0,323.0,456.0,662.0,891.0,1186.0,1823.0,2473.0,2436.0,6089.0,2014
"Braunschweig, kreisfreie Stadt",2809.0,4.0,4.0,11.0,15.0,7.0,6.0,18.0,49.0,64.0,104.0,150.0,167.0,295.0,430.0,398.0,1087.0,2014
"Salzgitter, kreisfreie Stadt",1337.0,4.0,4.0,4.0,1.0,2.0,9.0,14.0,13.0,34.0,62.0,85.0,80.0,145.0,205.0,227.0,448.0,2014
"Wolfsburg, kreisfreie Stadt",1314.0,1.0,3.0,1.0,3.0,3.0,6.0,13.0,15.0,28.0,45.0,77.0,74.0,125.0,197.0,253.0,470.0,2014
"Gifhorn, Landkreis",1613.0,6.0,1.0,7.0,1.0,4.0,9.0,20.0,23.0,52.0,68.0,87.0,96.0,164.0,238.0,277.0,560.0,2014
"Göttingen, Landkreis",2527.0,9.0,5.0,6.0,10.0,13.0,6.0,10.0,29.0,81.0,94.0,124.0,137.0,250.0,356.0,415.0,982.0,2014
"Goslar, Landkreis",2040.0,4.0,2.0,3.0,1.0,3.0,5.0,12.0,32.0,47.0,76.0,92.0,114.0,192.0,320.0,348.0,789.0,2014
"Helmstedt, Landkreis",1271.0,5.0,1.0,5.0,0.0,2.0,3.0,15.0,16.0,35.0,43.0,70.0,83.0,119.0,191.0,204.0,479.0,2014
"Northeim, Landkreis",1839.0,3.0,3.0,3.0,3.0,3.0,4.0,10.0,22.0,35.0,61.0,97.0,92.0,169.0,292.0,324.0,718.0,2014
"Osterode am Harz, Landkreis",1181.0,1.0,1.0,0.0,2.0,5.0,3.0,5.0,12.0,30.0,47.0,60.0,61.0,120.0,167.0,187.0,480.0,2014
"Peine, Landkreis",1479.0,4.0,1.0,6.0,2.0,5.0,6.0,9.0,23.0,40.0,73.0,79.0,74.0,153.0,208.0,249.0,547.0,2014
"Wolfenbüttel, Landkreis",1441.0,3.0,0.0,3.0,0.0,3.0,6.0,10.0,19.0,34.0,59.0,79.0,99.0,162.0,217.0,238.0,509.0,2014
"Region Hannover, Landkreis",12021.0,26.0,17.0,26.0,23.0,46.0,48.0,104.0,194.0,351.0,436.0,599.0,754.0,1244.0,1812.0,1870.0,4471.0,2014
"Hannover, Landeshauptstadt",5417.0,13.0,4.0,10.0,16.0,20.0,34.0,56.0,97.0,163.0,190.0,282.0,358.0,536.0,765.0,742.0,2131.0,2014
"Diepholz, Landkreis",2330.0,8.0,4.0,7.0,3.0,9.0,8.0,14.0,35.0,78.0,84.0,149.0,180.0,236.0,345.0,382.0,788.0,2014
"Hameln-Pyrmont, Landkreis",2042.0,2.0,2.0,4.0,5.0,9.0,5.0,14.0,28.0,49.0,83.0,108.0,111.0,215.0,297.0,335.0,775.0,2014
"Hildesheim, Landkreis",3438.0,10.0,6.0,7.0,11.0,18.0,15.0,20.0,54.0,86.0,121.0,168.0,226.0,342.0,530.0,567.0,1257.0,2014
"Holzminden, Landkreis",1033.0,1.0,0.0,6.0,1.0,4.0,2.0,5.0,10.0,30.0,38.0,46.0,55.0,118.0,138.0,180.0,399.0,2014
"Nienburg (Weser), Landkreis",1502.0,2.0,4.0,5.0,3.0,4.0,6.0,11.0,26.0,40.0,50.0,73.0,81.0,165.0,215.0,267.0,550.0,2014
"Schaumburg, Landkreis",2098.0,5.0,1.0,6.0,3.0,3.0,4.0,15.0,41.0,53.0,65.0,109.0,116.0,208.0,298.0,353.0,818.0,2014
"Celle, Landkreis",2114.0,6.0,1.0,12.0,4.0,3.0,5.0,21.0,30.0,59.0,73.0,108.0,128.0,230.0,299.0,298.0,837.0,2014
"Cuxhaven, Landkreis",2558.0,6.0,3.0,4.0,3.0,6.0,16.0,12.0,47.0,59.0,71.0,135.0,153.0,302.0,395.0,384.0,962.0,2014
"Harburg, Landkreis",2485.0,8.0,5.0,8.0,4.0,6.0,10.0,18.0,45.0,74.0,85.0,126.0,155.0,311.0,379.0,378.0,873.0,2014
"Lüchow-Dannenberg, Landkreis",701.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,12.0,14.0,19.0,40.0,51.0,74.0,121.0,108.0,252.0,2014
"Lüneburg, Landkreis",1827.0,9.0,1.0,7.0,5.0,7.0,5.0,13.0,33.0,52.0,73.0,103.0,106.0,179.0,307.0,278.0,649.0,2014
"Osterholz, Landkreis",1228.0,5.0,0.0,7.0,1.0,4.0,4.0,8.0,18.0,41.0,38.0,52.0,79.0,147.0,196.0,193.0,435.0,2014
"Rotenburg (Wümme), Landkreis",1729.0,4.0,0.0,11.0,5.0,6.0,13.0,11.0,32.0,52.0,77.0,102.0,101.0,175.0,270.0,263.0,607.0,2014
"Heidekreis, Landkreis",1612.0,1.0,0.0,8.0,1.0,6.0,5.0,9.0,20.0,42.0,55.0,82.0,105.0,167.0,242.0,257.0,612.0,2014
"Stade, Landkreis",1990.0,6.0,3.0,7.0,2.0,5.0,11.0,18.0,39.0,45.0,71.0,119.0,137.0,210.0,307.0,320.0,690.0,2014
"Uelzen, Landkreis",1252.0,5.0,0.0,4.0,2.0,3.0,4.0,8.0,12.0,29.0,47.0,65.0,69.0,131.0,207.0,214.0,452.0,2014
"Verden, Landkreis",1350.0,4.0,1.0,2.0,2.0,8.0,4.0,11.0,19.0,33.0,57.0,77.0,93.0,132.0,210.0,210.0,487.0,2014
"Delmenhorst, kreisfreie Stadt",781.0,1.0,0.0,3.0,3.0,1.0,2.0,7.0,20.0,23.0,36.0,41.0,61.0,97.0,126.0,100.0,260.0,2014
"Emden, kreisfreie Stadt",587.0,3.0,1.0,1.0,1.0,1.0,4.0,6.0,17.0,22.0,19.0,34.0,48.0,60.0,94.0,96.0,180.0,2014
"Oldenburg (Oldenburg), kreisfreie Stadt",1511.0,2.0,0.0,5.0,5.0,5.0,4.0,18.0,27.0,42.0,47.0,94.0,106.0,140.0,229.0,222.0,565.0,2014
"Osnabrück, kreisfreie Stadt",1636.0,4.0,1.0,6.0,10.0,12.0,10.0,9.0,20.0,70.0,46.0,81.0,82.0,145.0,239.0,278.0,623.0,2014
"Wilhelmshaven, kreisfreie Stadt",991.0,0.0,1.0,0.0,3.0,3.0,5.0,9.0,17.0,29.0,38.0,69.0,78.0,109.0,156.0,129.0,345.0,2014
"Ammerland, Landkreis",1184.0,1.0,2.0,5.0,2.0,5.0,3.0,5.0,30.0,36.0,32.0,70.0,78.0,109.0,207.0,204.0,395.0,2014
"Aurich, Landkreis",2160.0,9.0,4.0,12.0,5.0,8.0,5.0,8.0,48.0,61.0,76.0,141.0,169.0,231.0,305.0,381.0,697.0,2014
"Cloppenburg, Landkreis",1443.0,14.0,4.0,7.0,5.0,3.0,2.0,10.0,30.0,48.0,47.0,83.0,82.0,143.0,219.0,242.0,504.0,2014
"Emsland, Landkreis",3095.0,13.0,3.0,19.0,9.0,13.0,7.0,31.0,48.0,82.0,118.0,174.0,200.0,301.0,519.0,549.0,1009.0,2014
"Friesland, Landkreis",1177.0,0.0,0.0,3.0,3.0,2.0,1.0,6.0,17.0,33.0,46.0,49.0,91.0,124.0,179.0,179.0,444.0,2014
"Grafschaft Bentheim, Landkreis",1364.0,5.0,0.0,5.0,3.0,0.0,6.0,9.0,21.0,30.0,47.0,57.0,75.0,125.0,216.0,266.0,499.0,2014
"Leer, Landkreis",1845.0,7.0,5.0,10.0,2.0,4.0,7.0,15.0,37.0,49.0,80.0,102.0,119.0,188.0,299.0,339.0,582.0,2014
"Oldenburg, Landkreis",1338.0,1.0,1.0,3.0,3.0,7.0,10.0,4.0,24.0,31.0,48.0,67.0,76.0,147.0,223.0,216.0,477.0,2014
"Osnabrück, Landkreis",3491.0,12.0,4.0,8.0,6.0,17.0,19.0,25.0,62.0,118.0,141.0,182.0,179.0,362.0,512.0,578.0,1266.0,2014
"Vechta, Landkreis",1069.0,3.0,2.0,3.0,5.0,5.0,5.0,11.0,18.0,22.0,35.0,52.0,63.0,110.0,147.0,190.0,398.0,2014
"Wesermarsch, Landkreis",1073.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,18.0,26.0,58.0,56.0,76.0,116.0,158.0,176.0,372.0,2014
"Wittmund, Landkreis",665.0,2.0,0.0,3.0,3.0,1.0,3.0,5.0,12.0,25.0,26.0,34.0,47.0,66.0,115.0,91.0,232.0,2014
"Bremen, kreisfreie Stadt",5975.0,28.0,9.0,24.0,18.0,30.0,22.0,55.0,103.0,175.0,265.0,310.0,384.0,631.0,911.0,892.0,2118.0,2014
"Bremerhaven, kreisfreie Stadt",1462.0,7.0,2.0,1.0,5.0,1.0,3.0,20.0,33.0,52.0,73.0,91.0,104.0,155.0,248.0,246.0,421.0,2014
